disease_name,cause,cure,fertilizer,natural_pesticide
Insect Pest Disease,"Infestation by aphids, mites, or whiteflies. Mostly affects young plants.",Apply insecticides like Imidacloprid. Apply during early morning.,Nitrogen-rich fertilizer to boost recovery. Use after irrigation.,Neem oil spray every 5 days. Apply regularly.
White Mold Disease,Fungal infection in moist conditions. Mostly affects young plants.,Apply Carbendazim fungicide.,Use phosphorus-rich fertilizer. Apply weekly.,Apply Trichoderma bio-control.
Mosaic Virus Disease,Virus spread by aphids. Spreads rapidly in humid weather.,Remove infected plants immediately. Repeat every 7 days.,Micronutrient spray. Use after irrigation.,Control aphids using neem oil.
Wilt Disease,Soil-borne bacteria or fungi. Mostly affects young plants.,Use resistant varieties and soil treatment. Apply during early morning.,Potassium-rich fertilizer.,Apply neem cake and improve drainage. Eco-friendly method.
Healthy Leaf,"No disease, plant is in healthy condition. Mostly affects young plants.",Maintain proper irrigation and sunlight. Apply during early morning.,Balanced NPK fertilizer (10:10:10).,Apply compost and maintain soil health. Eco-friendly method.
Insect Pest Disease,"Infestation by aphids, mites, or whiteflies.",Apply insecticides like Imidacloprid. Apply during early morning.,Nitrogen-rich fertilizer to boost recovery. Use after irrigation.,Neem oil spray every 5 days. Eco-friendly method.
Mosaic Virus Disease,Virus spread by aphids. Spreads rapidly in humid weather.,Remove infected plants immediately. Follow recommended dosage.,Micronutrient spray.,Control aphids using neem oil. Eco-friendly method.
White Mold Disease,Fungal infection in moist conditions. Common in rainy season.,Apply Carbendazim fungicide. Repeat every 7 days.,Use phosphorus-rich fertilizer.,Apply Trichoderma bio-control. Eco-friendly method.
Leaf Spot Disease,Fungal infection due to high humidity. Mostly affects young plants.,Spray Mancozeb or Copper fungicide. Apply during early morning.,Balanced NPK fertilizer. Apply weekly.,Neem oil or baking soda spray. Eco-friendly method.
White Mold Disease,Fungal infection in moist conditions. Common in rainy season.,Apply Carbendazim fungicide. Repeat every 7 days.,Use phosphorus-rich fertilizer. Apply weekly.,Apply Trichoderma bio-control. Use as preventive measure.
White Mold Disease,Fungal infection in moist conditions. Mostly affects young plants.,Apply Carbendazim fungicide. Apply during early morning.,Use phosphorus-rich fertilizer.,Apply Trichoderma bio-control.
Healthy Leaf,"No disease, plant is in healthy condition. Spreads rapidly in humid weather.",Maintain proper irrigation and sunlight. Apply during early morning.,Balanced NPK fertilizer (10:10:10).,Apply compost and maintain soil health. Use as preventive measure.
Wilt Disease,Soil-borne bacteria or fungi.,Use resistant varieties and soil treatment. Repeat every 7 days.,Potassium-rich fertilizer. Apply weekly.,Apply neem cake and improve drainage. Eco-friendly method.
White Mold Disease,Fungal infection in moist conditions. Common in rainy season.,Apply Carbendazim fungicide. Apply during early morning.,Use phosphorus-rich fertilizer. Mix with compost.,Apply Trichoderma bio-control.
Mosaic Virus Disease,Virus spread by aphids. Mostly affects young plants.,Remove infected plants immediately. Follow recommended dosage.,Micronutrient spray. Mix with compost.,Control aphids using neem oil. Use as preventive measure.
Healthy Leaf,"No disease, plant is in healthy condition. Mostly affects young plants.",Maintain proper irrigation and sunlight. Apply during early morning.,Balanced NPK fertilizer (10:10:10).,Apply compost and maintain soil health. Eco-friendly method.
Insect Pest Disease,"Infestation by aphids, mites, or whiteflies.",Apply insecticides like Imidacloprid. Follow recommended dosage.,Nitrogen-rich fertilizer to boost recovery. Use after irrigation.,Neem oil spray every 5 days. Apply regularly.
Healthy Leaf,"No disease, plant is in healthy condition. Mostly affects young plants.",Maintain proper irrigation and sunlight. Apply during early morning.,Balanced NPK fertilizer (10:10:10). Apply weekly.,Apply compost and maintain soil health. Use as preventive measure.
Leaf Spot Disease,Fungal infection due to high humidity. Spreads rapidly in humid weather.,Spray Mancozeb or Copper fungicide. Follow recommended dosage.,Balanced NPK fertilizer. Use after irrigation.,Neem oil or baking soda spray. Use as preventive measure.
White Mold Disease,Fungal infection in moist conditions. Spreads rapidly in humid weather.,Apply Carbendazim fungicide. Apply during early morning.,Use phosphorus-rich fertilizer.,Apply Trichoderma bio-control.
Mosaic Virus Disease,Virus spread by aphids.,Remove infected plants immediately. Repeat every 7 days.,Micronutrient spray.,Control aphids using neem oil. Use as preventive measure.
White Mold Disease,Fungal infection in moist conditions.,Apply Carbendazim fungicide. Apply during early morning.,Use phosphorus-rich fertilizer.,Apply Trichoderma bio-control. Apply regularly.
Small Leaf Disease,Phytoplasma infection. Spreads rapidly in humid weather.,Spray antibiotics like Tetracycline. Apply during early morning.,Apply organic manure.,Remove infected plants and use neem spray.
White Mold Disease,Fungal infection in moist conditions. Spreads rapidly in humid weather.,Apply Carbendazim fungicide.,Use phosphorus-rich fertilizer.,Apply Trichoderma bio-control. Apply regularly.
Small Leaf Disease,Phytoplasma infection.,Spray antibiotics like Tetracycline.,Apply organic manure.,Remove infected plants and use neem spray. Use as preventive measure.
Leaf Spot Disease,Fungal infection due to high humidity. Spreads rapidly in humid weather.,Spray Mancozeb or Copper fungicide. Repeat every 7 days.,Balanced NPK fertilizer. Use after irrigation.,Neem oil or baking soda spray. Apply regularly.
Healthy Leaf,"No disease, plant is in healthy condition. Spreads rapidly in humid weather.",Maintain proper irrigation and sunlight.,Balanced NPK fertilizer (10:10:10).,Apply compost and maintain soil health. Use as preventive measure.
White Mold Disease,Fungal infection in moist conditions. Spreads rapidly in humid weather.,Apply Carbendazim fungicide. Repeat every 7 days.,Use phosphorus-rich fertilizer. Use after irrigation.,Apply Trichoderma bio-control.
Mosaic Virus Disease,Virus spread by aphids. Mostly affects young plants.,Remove infected plants immediately. Apply during early morning.,Micronutrient spray. Mix with compost.,Control aphids using neem oil. Apply regularly.
Healthy Leaf,"No disease, plant is in healthy condition. Common in rainy season.",Maintain proper irrigation and sunlight. Apply during early morning.,Balanced NPK fertilizer (10:10:10). Mix with compost.,Apply compost and maintain soil health. Apply regularly.
Insect Pest Disease,"Infestation by aphids, mites, or whiteflies.",Apply insecticides like Imidacloprid. Apply during early morning.,Nitrogen-rich fertilizer to boost recovery.,Neem oil spray every 5 days. Eco-friendly method.
Mosaic Virus Disease,Virus spread by aphids. Common in rainy season.,Remove infected plants immediately. Repeat every 7 days.,Micronutrient spray. Mix with compost.,Control aphids using neem oil. Eco-friendly method.
Healthy Leaf,"No disease, plant is in healthy condition.",Maintain proper irrigation and sunlight. Apply during early morning.,Balanced NPK fertilizer (10:10:10). Apply weekly.,Apply compost and maintain soil health. Apply regularly.
Wilt Disease,Soil-borne bacteria or fungi. Spreads rapidly in humid weather.,Use resistant varieties and soil treatment. Apply during early morning.,Potassium-rich fertilizer.,Apply neem cake and improve drainage. Apply regularly.
Mosaic Virus Disease,Virus spread by aphids. Common in rainy season.,Remove infected plants immediately. Repeat every 7 days.,Micronutrient spray. Use after irrigation.,Control aphids using neem oil.
Insect Pest Disease,"Infestation by aphids, mites, or whiteflies. Spreads rapidly in humid weather.",Apply insecticides like Imidacloprid. Repeat every 7 days.,Nitrogen-rich fertilizer to boost recovery. Apply weekly.,Neem oil spray every 5 days. Use as preventive measure.
White Mold Disease,Fungal infection in moist conditions. Mostly affects young plants.,Apply Carbendazim fungicide. Repeat every 7 days.,Use phosphorus-rich fertilizer. Apply weekly.,Apply Trichoderma bio-control.
Mosaic Virus Disease,Virus spread by aphids. Mostly affects young plants.,Remove infected plants immediately. Apply during early morning.,Micronutrient spray. Apply weekly.,Control aphids using neem oil.
Leaf Spot Disease,Fungal infection due to high humidity. Mostly affects young plants.,Spray Mancozeb or Copper fungicide.,Balanced NPK fertilizer.,Neem oil or baking soda spray. Use as preventive measure.
Insect Pest Disease,"Infestation by aphids, mites, or whiteflies. Spreads rapidly in humid weather.",Apply insecticides like Imidacloprid.,Nitrogen-rich fertilizer to boost recovery. Use after irrigation.,Neem oil spray every 5 days.
Wilt Disease,Soil-borne bacteria or fungi. Common in rainy season.,Use resistant varieties and soil treatment.,Potassium-rich fertilizer. Use after irrigation.,Apply neem cake and improve drainage. Use as preventive measure.
Small Leaf Disease,Phytoplasma infection. Spreads rapidly in humid weather.,Spray antibiotics like Tetracycline. Repeat every 7 days.,Apply organic manure.,Remove infected plants and use neem spray. Use as preventive measure.
Small Leaf Disease,Phytoplasma infection.,Spray antibiotics like Tetracycline. Follow recommended dosage.,Apply organic manure. Apply weekly.,Remove infected plants and use neem spray. Eco-friendly method.
Wilt Disease,Soil-borne bacteria or fungi. Common in rainy season.,Use resistant varieties and soil treatment. Follow recommended dosage.,Potassium-rich fertilizer. Apply weekly.,Apply neem cake and improve drainage.
Insect Pest Disease,"Infestation by aphids, mites, or whiteflies. Mostly affects young plants.",Apply insecticides like Imidacloprid. Apply during early morning.,Nitrogen-rich fertilizer to boost recovery. Mix with compost.,Neem oil spray every 5 days. Apply regularly.
Insect Pest Disease,"Infestation by aphids, mites, or whiteflies. Common in rainy season.",Apply insecticides like Imidacloprid. Follow recommended dosage.,Nitrogen-rich fertilizer to boost recovery.,Neem oil spray every 5 days. Use as preventive measure.
Healthy Leaf,"No disease, plant is in healthy condition.",Maintain proper irrigation and sunlight.,Balanced NPK fertilizer (10:10:10). Mix with compost.,Apply compost and maintain soil health. Apply regularly.
Mosaic Virus Disease,Virus spread by aphids. Spreads rapidly in humid weather.,Remove infected plants immediately. Apply during early morning.,Micronutrient spray. Mix with compost.,Control aphids using neem oil. Use as preventive measure.
Small Leaf Disease,Phytoplasma infection.,Spray antibiotics like Tetracycline. Apply during early morning.,Apply organic manure.,Remove infected plants and use neem spray. Use as preventive measure.
Insect Pest Disease,"Infestation by aphids, mites, or whiteflies. Mostly affects young plants.",Apply insecticides like Imidacloprid. Apply during early morning.,Nitrogen-rich fertilizer to boost recovery.,Neem oil spray every 5 days.
Wilt Disease,Soil-borne bacteria or fungi. Spreads rapidly in humid weather.,Use resistant varieties and soil treatment. Follow recommended dosage.,Potassium-rich fertilizer. Apply weekly.,Apply neem cake and improve drainage. Use as preventive measure.
Leaf Spot Disease,Fungal infection due to high humidity.,Spray Mancozeb or Copper fungicide. Apply during early morning.,Balanced NPK fertilizer. Mix with compost.,Neem oil or baking soda spray. Use as preventive measure.
Mosaic Virus Disease,Virus spread by aphids. Spreads rapidly in humid weather.,Remove infected plants immediately. Follow recommended dosage.,Micronutrient spray. Mix with compost.,Control aphids using neem oil. Apply regularly.
Mosaic Virus Disease,Virus spread by aphids. Mostly affects young plants.,Remove infected plants immediately.,Micronutrient spray. Apply weekly.,Control aphids using neem oil.
Mosaic Virus Disease,Virus spread by aphids. Common in rainy season.,Remove infected plants immediately.,Micronutrient spray. Apply weekly.,Control aphids using neem oil. Eco-friendly method.
Healthy Leaf,"No disease, plant is in healthy condition. Spreads rapidly in humid weather.",Maintain proper irrigation and sunlight. Follow recommended dosage.,Balanced NPK fertilizer (10:10:10). Apply weekly.,Apply compost and maintain soil health.
Insect Pest Disease,"Infestation by aphids, mites, or whiteflies. Spreads rapidly in humid weather.",Apply insecticides like Imidacloprid. Repeat every 7 days.,Nitrogen-rich fertilizer to boost recovery. Use after irrigation.,Neem oil spray every 5 days. Eco-friendly method.
Mosaic Virus Disease,Virus spread by aphids. Mostly affects young plants.,Remove infected plants immediately. Repeat every 7 days.,Micronutrient spray. Apply weekly.,Control aphids using neem oil.
Leaf Spot Disease,Fungal infection due to high humidity.,Spray Mancozeb or Copper fungicide. Follow recommended dosage.,Balanced NPK fertilizer. Mix with compost.,Neem oil or baking soda spray. Use as preventive measure.
Small Leaf Disease,Phytoplasma infection. Spreads rapidly in humid weather.,Spray antibiotics like Tetracycline. Follow recommended dosage.,Apply organic manure. Use after irrigation.,Remove infected plants and use neem spray. Use as preventive measure.
Mosaic Virus Disease,Virus spread by aphids. Spreads rapidly in humid weather.,Remove infected plants immediately. Repeat every 7 days.,Micronutrient spray. Use after irrigation.,Control aphids using neem oil.
White Mold Disease,Fungal infection in moist conditions. Common in rainy season.,Apply Carbendazim fungicide.,Use phosphorus-rich fertilizer. Use after irrigation.,Apply Trichoderma bio-control.
Healthy Leaf,"No disease, plant is in healthy condition. Common in rainy season.",Maintain proper irrigation and sunlight. Apply during early morning.,Balanced NPK fertilizer (10:10:10).,Apply compost and maintain soil health. Eco-friendly method.
Small Leaf Disease,Phytoplasma infection. Spreads rapidly in humid weather.,Spray antibiotics like Tetracycline. Follow recommended dosage.,Apply organic manure. Mix with compost.,Remove infected plants and use neem spray. Use as preventive measure.
Leaf Spot Disease,Fungal infection due to high humidity.,Spray Mancozeb or Copper fungicide. Repeat every 7 days.,Balanced NPK fertilizer. Apply weekly.,Neem oil or baking soda spray. Use as preventive measure.
Insect Pest Disease,"Infestation by aphids, mites, or whiteflies. Spreads rapidly in humid weather.",Apply insecticides like Imidacloprid.,Nitrogen-rich fertilizer to boost recovery. Apply weekly.,Neem oil spray every 5 days. Eco-friendly method.
Wilt Disease,Soil-borne bacteria or fungi.,Use resistant varieties and soil treatment. Follow recommended dosage.,Potassium-rich fertilizer. Apply weekly.,Apply neem cake and improve drainage. Apply regularly.
Mosaic Virus Disease,Virus spread by aphids. Spreads rapidly in humid weather.,Remove infected plants immediately.,Micronutrient spray.,Control aphids using neem oil.
Insect Pest Disease,"Infestation by aphids, mites, or whiteflies.",Apply insecticides like Imidacloprid.,Nitrogen-rich fertilizer to boost recovery. Apply weekly.,Neem oil spray every 5 days. Use as preventive measure.
Small Leaf Disease,Phytoplasma infection.,Spray antibiotics like Tetracycline.,Apply organic manure. Use after irrigation.,Remove infected plants and use neem spray. Apply regularly.
Small Leaf Disease,Phytoplasma infection. Mostly affects young plants.,Spray antibiotics like Tetracycline. Follow recommended dosage.,Apply organic manure. Apply weekly.,Remove infected plants and use neem spray. Use as preventive measure.
Small Leaf Disease,Phytoplasma infection.,Spray antibiotics like Tetracycline. Follow recommended dosage.,Apply organic manure.,Remove infected plants and use neem spray. Eco-friendly method.
Healthy Leaf,"No disease, plant is in healthy condition. Spreads rapidly in humid weather.",Maintain proper irrigation and sunlight. Repeat every 7 days.,Balanced NPK fertilizer (10:10:10).,Apply compost and maintain soil health. Eco-friendly method.
Insect Pest Disease,"Infestation by aphids, mites, or whiteflies. Mostly affects young plants.",Apply insecticides like Imidacloprid.,Nitrogen-rich fertilizer to boost recovery.,Neem oil spray every 5 days. Apply regularly.
Wilt Disease,Soil-borne bacteria or fungi. Spreads rapidly in humid weather.,Use resistant varieties and soil treatment. Follow recommended dosage.,Potassium-rich fertilizer. Use after irrigation.,Apply neem cake and improve drainage.
Leaf Spot Disease,Fungal infection due to high humidity. Mostly affects young plants.,Spray Mancozeb or Copper fungicide. Follow recommended dosage.,Balanced NPK fertilizer. Mix with compost.,Neem oil or baking soda spray. Apply regularly.
Wilt Disease,Soil-borne bacteria or fungi. Mostly affects young plants.,Use resistant varieties and soil treatment. Apply during early morning.,Potassium-rich fertilizer. Use after irrigation.,Apply neem cake and improve drainage.
Leaf Spot Disease,Fungal infection due to high humidity. Common in rainy season.,Spray Mancozeb or Copper fungicide. Apply during early morning.,Balanced NPK fertilizer. Apply weekly.,Neem oil or baking soda spray. Apply regularly.
Small Leaf Disease,Phytoplasma infection.,Spray antibiotics like Tetracycline.,Apply organic manure. Mix with compost.,Remove infected plants and use neem spray. Use as preventive measure.
Healthy Leaf,"No disease, plant is in healthy condition. Spreads rapidly in humid weather.",Maintain proper irrigation and sunlight. Apply during early morning.,Balanced NPK fertilizer (10:10:10). Apply weekly.,Apply compost and maintain soil health. Apply regularly.
Leaf Spot Disease,Fungal infection due to high humidity. Spreads rapidly in humid weather.,Spray Mancozeb or Copper fungicide. Repeat every 7 days.,Balanced NPK fertilizer. Apply weekly.,Neem oil or baking soda spray. Use as preventive measure.
Healthy Leaf,"No disease, plant is in healthy condition.",Maintain proper irrigation and sunlight. Repeat every 7 days.,Balanced NPK fertilizer (10:10:10).,Apply compost and maintain soil health. Use as preventive measure.
Insect Pest Disease,"Infestation by aphids, mites, or whiteflies. Mostly affects young plants.",Apply insecticides like Imidacloprid. Apply during early morning.,Nitrogen-rich fertilizer to boost recovery. Use after irrigation.,Neem oil spray every 5 days. Eco-friendly method.
Healthy Leaf,"No disease, plant is in healthy condition. Mostly affects young plants.",Maintain proper irrigation and sunlight. Repeat every 7 days.,Balanced NPK fertilizer (10:10:10). Use after irrigation.,Apply compost and maintain soil health.
Insect Pest Disease,"Infestation by aphids, mites, or whiteflies. Common in rainy season.",Apply insecticides like Imidacloprid. Repeat every 7 days.,Nitrogen-rich fertilizer to boost recovery. Use after irrigation.,Neem oil spray every 5 days. Use as preventive measure.
White Mold Disease,Fungal infection in moist conditions.,Apply Carbendazim fungicide.,Use phosphorus-rich fertilizer. Use after irrigation.,Apply Trichoderma bio-control. Eco-friendly method.
Leaf Spot Disease,Fungal infection due to high humidity. Spreads rapidly in humid weather.,Spray Mancozeb or Copper fungicide. Repeat every 7 days.,Balanced NPK fertilizer. Mix with compost.,Neem oil or baking soda spray.
Healthy Leaf,"No disease, plant is in healthy condition.",Maintain proper irrigation and sunlight. Repeat every 7 days.,Balanced NPK fertilizer (10:10:10). Apply weekly.,Apply compost and maintain soil health. Use as preventive measure.
Insect Pest Disease,"Infestation by aphids, mites, or whiteflies.",Apply insecticides like Imidacloprid. Follow recommended dosage.,Nitrogen-rich fertilizer to boost recovery.,Neem oil spray every 5 days. Use as preventive measure.
Insect Pest Disease,"Infestation by aphids, mites, or whiteflies.",Apply insecticides like Imidacloprid. Repeat every 7 days.,Nitrogen-rich fertilizer to boost recovery. Use after irrigation.,Neem oil spray every 5 days. Eco-friendly method.
Healthy Leaf,"No disease, plant is in healthy condition. Spreads rapidly in humid weather.",Maintain proper irrigation and sunlight.,Balanced NPK fertilizer (10:10:10). Mix with compost.,Apply compost and maintain soil health. Apply regularly.
Wilt Disease,Soil-borne bacteria or fungi. Common in rainy season.,Use resistant varieties and soil treatment. Follow recommended dosage.,Potassium-rich fertilizer. Mix with compost.,Apply neem cake and improve drainage. Eco-friendly method.
Mosaic Virus Disease,Virus spread by aphids. Spreads rapidly in humid weather.,Remove infected plants immediately. Follow recommended dosage.,Micronutrient spray. Mix with compost.,Control aphids using neem oil.
Mosaic Virus Disease,Virus spread by aphids. Common in rainy season.,Remove infected plants immediately. Repeat every 7 days.,Micronutrient spray. Use after irrigation.,Control aphids using neem oil. Apply regularly.
Healthy Leaf,"No disease, plant is in healthy condition. Common in rainy season.",Maintain proper irrigation and sunlight.,Balanced NPK fertilizer (10:10:10). Mix with compost.,Apply compost and maintain soil health. Apply regularly.
Wilt Disease,Soil-borne bacteria or fungi. Spreads rapidly in humid weather.,Use resistant varieties and soil treatment. Follow recommended dosage.,Potassium-rich fertilizer. Mix with compost.,Apply neem cake and improve drainage. Use as preventive measure.
White Mold Disease,Fungal infection in moist conditions.,Apply Carbendazim fungicide.,Use phosphorus-rich fertilizer. Mix with compost.,Apply Trichoderma bio-control.
Insect Pest Disease,"Infestation by aphids, mites, or whiteflies.",Apply insecticides like Imidacloprid.,Nitrogen-rich fertilizer to boost recovery. Use after irrigation.,Neem oil spray every 5 days.
Leaf Spot Disease,Fungal infection due to high humidity. Mostly affects young plants.,Spray Mancozeb or Copper fungicide. Repeat every 7 days.,Balanced NPK fertilizer. Apply weekly.,Neem oil or baking soda spray.
Wilt Disease,Soil-borne bacteria or fungi. Common in rainy season.,Use resistant varieties and soil treatment. Follow recommended dosage.,Potassium-rich fertilizer. Use after irrigation.,Apply neem cake and improve drainage. Eco-friendly method.
Mosaic Virus Disease,Virus spread by aphids. Common in rainy season.,Remove infected plants immediately. Follow recommended dosage.,Micronutrient spray. Mix with compost.,Control aphids using neem oil. Eco-friendly method.
Healthy Leaf,"No disease, plant is in healthy condition.",Maintain proper irrigation and sunlight.,Balanced NPK fertilizer (10:10:10).,Apply compost and maintain soil health. Use as preventive measure.
Healthy Leaf,"No disease, plant is in healthy condition. Mostly affects young plants.",Maintain proper irrigation and sunlight. Repeat every 7 days.,Balanced NPK fertilizer (10:10:10). Use after irrigation.,Apply compost and maintain soil health. Eco-friendly method.
Insect Pest Disease,"Infestation by aphids, mites, or whiteflies. Common in rainy season.",Apply insecticides like Imidacloprid.,Nitrogen-rich fertilizer to boost recovery.,Neem oil spray every 5 days. Use as preventive measure.
Mosaic Virus Disease,Virus spread by aphids. Mostly affects young plants.,Remove infected plants immediately. Repeat every 7 days.,Micronutrient spray.,Control aphids using neem oil. Eco-friendly method.
Insect Pest Disease,"Infestation by aphids, mites, or whiteflies. Mostly affects young plants.",Apply insecticides like Imidacloprid. Apply during early morning.,Nitrogen-rich fertilizer to boost recovery. Use after irrigation.,Neem oil spray every 5 days.
Small Leaf Disease,Phytoplasma infection. Mostly affects young plants.,Spray antibiotics like Tetracycline.,Apply organic manure. Mix with compost.,Remove infected plants and use neem spray. Use as preventive measure.
Mosaic Virus Disease,Virus spread by aphids. Mostly affects young plants.,Remove infected plants immediately.,Micronutrient spray. Mix with compost.,Control aphids using neem oil. Use as preventive measure.
White Mold Disease,Fungal infection in moist conditions. Spreads rapidly in humid weather.,Apply Carbendazim fungicide. Repeat every 7 days.,Use phosphorus-rich fertilizer. Apply weekly.,Apply Trichoderma bio-control. Apply regularly.
Leaf Spot Disease,Fungal infection due to high humidity.,Spray Mancozeb or Copper fungicide. Apply during early morning.,Balanced NPK fertilizer.,Neem oil or baking soda spray. Apply regularly.
Healthy Leaf,"No disease, plant is in healthy condition.",Maintain proper irrigation and sunlight. Repeat every 7 days.,Balanced NPK fertilizer (10:10:10). Mix with compost.,Apply compost and maintain soil health. Eco-friendly method.
Wilt Disease,Soil-borne bacteria or fungi. Mostly affects young plants.,Use resistant varieties and soil treatment.,Potassium-rich fertilizer.,Apply neem cake and improve drainage.
Leaf Spot Disease,Fungal infection due to high humidity. Mostly affects young plants.,Spray Mancozeb or Copper fungicide. Follow recommended dosage.,Balanced NPK fertilizer. Apply weekly.,Neem oil or baking soda spray.
Wilt Disease,Soil-borne bacteria or fungi.,Use resistant varieties and soil treatment. Follow recommended dosage.,Potassium-rich fertilizer. Apply weekly.,Apply neem cake and improve drainage. Apply regularly.
Small Leaf Disease,Phytoplasma infection.,Spray antibiotics like Tetracycline. Repeat every 7 days.,Apply organic manure. Use after irrigation.,Remove infected plants and use neem spray. Apply regularly.
Leaf Spot Disease,Fungal infection due to high humidity. Mostly affects young plants.,Spray Mancozeb or Copper fungicide. Repeat every 7 days.,Balanced NPK fertilizer.,Neem oil or baking soda spray. Use as preventive measure.
Insect Pest Disease,"Infestation by aphids, mites, or whiteflies. Spreads rapidly in humid weather.",Apply insecticides like Imidacloprid.,Nitrogen-rich fertilizer to boost recovery. Apply weekly.,Neem oil spray every 5 days. Use as preventive measure.
White Mold Disease,Fungal infection in moist conditions. Common in rainy season.,Apply Carbendazim fungicide. Follow recommended dosage.,Use phosphorus-rich fertilizer. Mix with compost.,Apply Trichoderma bio-control. Apply regularly.
Small Leaf Disease,Phytoplasma infection. Spreads rapidly in humid weather.,Spray antibiotics like Tetracycline. Follow recommended dosage.,Apply organic manure. Mix with compost.,Remove infected plants and use neem spray. Use as preventive measure.
Mosaic Virus Disease,Virus spread by aphids.,Remove infected plants immediately. Repeat every 7 days.,Micronutrient spray. Apply weekly.,Control aphids using neem oil. Eco-friendly method.
Healthy Leaf,"No disease, plant is in healthy condition.",Maintain proper irrigation and sunlight. Repeat every 7 days.,Balanced NPK fertilizer (10:10:10). Apply weekly.,Apply compost and maintain soil health. Use as preventive measure.
Mosaic Virus Disease,Virus spread by aphids. Mostly affects young plants.,Remove infected plants immediately. Apply during early morning.,Micronutrient spray. Mix with compost.,Control aphids using neem oil. Eco-friendly method.
Small Leaf Disease,Phytoplasma infection.,Spray antibiotics like Tetracycline. Follow recommended dosage.,Apply organic manure. Mix with compost.,Remove infected plants and use neem spray. Apply regularly.
Insect Pest Disease,"Infestation by aphids, mites, or whiteflies. Mostly affects young plants.",Apply insecticides like Imidacloprid. Follow recommended dosage.,Nitrogen-rich fertilizer to boost recovery. Mix with compost.,Neem oil spray every 5 days. Apply regularly.
Wilt Disease,Soil-borne bacteria or fungi. Spreads rapidly in humid weather.,Use resistant varieties and soil treatment. Repeat every 7 days.,Potassium-rich fertilizer. Mix with compost.,Apply neem cake and improve drainage. Use as preventive measure.
Wilt Disease,Soil-borne bacteria or fungi. Mostly affects young plants.,Use resistant varieties and soil treatment. Repeat every 7 days.,Potassium-rich fertilizer. Apply weekly.,Apply neem cake and improve drainage. Apply regularly.
Leaf Spot Disease,Fungal infection due to high humidity. Mostly affects young plants.,Spray Mancozeb or Copper fungicide. Apply during early morning.,Balanced NPK fertilizer.,Neem oil or baking soda spray. Apply regularly.
Insect Pest Disease,"Infestation by aphids, mites, or whiteflies. Common in rainy season.",Apply insecticides like Imidacloprid.,Nitrogen-rich fertilizer to boost recovery. Use after irrigation.,Neem oil spray every 5 days.
Mosaic Virus Disease,Virus spread by aphids. Mostly affects young plants.,Remove infected plants immediately. Apply during early morning.,Micronutrient spray. Mix with compost.,Control aphids using neem oil.
Leaf Spot Disease,Fungal infection due to high humidity. Common in rainy season.,Spray Mancozeb or Copper fungicide. Follow recommended dosage.,Balanced NPK fertilizer. Use after irrigation.,Neem oil or baking soda spray. Eco-friendly method.
Mosaic Virus Disease,Virus spread by aphids. Mostly affects young plants.,Remove infected plants immediately. Apply during early morning.,Micronutrient spray.,Control aphids using neem oil.
Mosaic Virus Disease,Virus spread by aphids. Common in rainy season.,Remove infected plants immediately.,Micronutrient spray. Mix with compost.,Control aphids using neem oil. Eco-friendly method.
Wilt Disease,Soil-borne bacteria or fungi. Spreads rapidly in humid weather.,Use resistant varieties and soil treatment.,Potassium-rich fertilizer. Use after irrigation.,Apply neem cake and improve drainage.
Small Leaf Disease,Phytoplasma infection. Common in rainy season.,Spray antibiotics like Tetracycline.,Apply organic manure. Mix with compost.,Remove infected plants and use neem spray. Apply regularly.
Healthy Leaf,"No disease, plant is in healthy condition. Common in rainy season.",Maintain proper irrigation and sunlight. Follow recommended dosage.,Balanced NPK fertilizer (10:10:10). Apply weekly.,Apply compost and maintain soil health. Use as preventive measure.
Insect Pest Disease,"Infestation by aphids, mites, or whiteflies. Spreads rapidly in humid weather.",Apply insecticides like Imidacloprid. Apply during early morning.,Nitrogen-rich fertilizer to boost recovery. Use after irrigation.,Neem oil spray every 5 days.
Leaf Spot Disease,Fungal infection due to high humidity. Mostly affects young plants.,Spray Mancozeb or Copper fungicide. Follow recommended dosage.,Balanced NPK fertilizer. Mix with compost.,Neem oil or baking soda spray. Use as preventive measure.
Leaf Spot Disease,Fungal infection due to high humidity. Mostly affects young plants.,Spray Mancozeb or Copper fungicide. Apply during early morning.,Balanced NPK fertilizer. Use after irrigation.,Neem oil or baking soda spray.
Small Leaf Disease,Phytoplasma infection.,Spray antibiotics like Tetracycline.,Apply organic manure. Mix with compost.,Remove infected plants and use neem spray. Eco-friendly method.
Healthy Leaf,"No disease, plant is in healthy condition. Common in rainy season.",Maintain proper irrigation and sunlight.,Balanced NPK fertilizer (10:10:10). Use after irrigation.,Apply compost and maintain soil health. Use as preventive measure.
Healthy Leaf,"No disease, plant is in healthy condition. Spreads rapidly in humid weather.",Maintain proper irrigation and sunlight. Repeat every 7 days.,Balanced NPK fertilizer (10:10:10).,Apply compost and maintain soil health. Eco-friendly method.
Insect Pest Disease,"Infestation by aphids, mites, or whiteflies.",Apply insecticides like Imidacloprid. Apply during early morning.,Nitrogen-rich fertilizer to boost recovery. Use after irrigation.,Neem oil spray every 5 days. Eco-friendly method.
Mosaic Virus Disease,Virus spread by aphids. Common in rainy season.,Remove infected plants immediately. Apply during early morning.,Micronutrient spray. Use after irrigation.,Control aphids using neem oil.
Small Leaf Disease,Phytoplasma infection.,Spray antibiotics like Tetracycline.,Apply organic manure. Use after irrigation.,Remove infected plants and use neem spray. Use as preventive measure.
